ticker,data_preco,data_referencia_fundo,pvp_raw,vacancia_raw,dy_12m_raw,lucro_caixa_trimestral,pvp_score,vacancia_score,dy_score,lucro_growth_score,score_fundamentalista
VISC11,2024-12-30 00:00:00-03:00,2025-06-30,0.86,0.0,12.19197529703227,24556522.85,0.19736842105263175,1.0,0.7094205161423645,1.0,0.7266972342987491
BRCR11,2024-12-30 00:00:00-03:00,2025-06-30,0.48,0.005,15.31573890530893,30425958.45,0.6973684210526316,0.9911816578483245,0.8957464913532479,0.11561034023403051,0.6749767276220586
BTAL11,2024-12-30 00:00:00-03:00,2025-06-30,0.65,0.0,15.266168779631062,96807951.12,0.47368421052631593,1.0,0.8927897368844454,0.14789678604633502,0.6285926833642741
XPIN11,2024-12-30 00:00:00-03:00,2025-06-30,0.74,0.06,12.783496659994345,13221683.68,0.35526315789473684,0.8941798941798941,0.7447035300426333,0.051429411938817636,0.5113939985140205
HGRU11,2024-12-30 00:00:00-03:00,2025-06-30,0.98,0.008,11.291313486739622,75373069.42,0.03947368421052635,0.9858906525573192,0.6556979202028593,0.3612272909927118,0.5105723869908542
VSLH11,2024-12-30 00:00:00-03:00,2025-06-30,0.25,,17.06355380861103,61127860.96,1.0,,1.0,0.0,0.5
KNRI11,2024-12-30 00:00:00-03:00,2025-06-30,0.89,0.001,9.471118215656935,86256337.18,0.15789473684210512,0.9982363315696648,0.5471270737853787,0.2848262332351438,0.49702109385807314
ALZR11,2024-12-30 00:00:00-03:00,2025-06-30,0.99,0.0,9.814479197601989,34211248.59,0.026315789473684233,1.0,0.5676078392443163,0.370638915956832,0.4911406361687081
XPCM11,2024-12-30 00:00:00-03:00,2025-06-30,0.28,0.5670000000000001,0.29850747118444504,-674688.63,0.9605263157894737,0.0,0.0,1.0,0.4901315789473684
HGLG11,2024-12-30 00:00:00-03:00,2025-06-30,0.97,0.035,9.13651491583308,110446271.75,0.05263157894736847,0.9382716049382716,0.5271686857744324,0.29863693042688916,0.4541772000217404
XPML11,2024-12-30 00:00:00-03:00,2025-06-30,0.95,0.087,12.316098539064237,129915645.09,0.0789473684210527,0.8465608465608466,0.7168242082964906,0.17414521943038336,0.4541194106771933
HGBS11,2024-12-30 00:00:00-03:00,2025-06-30,0.92,0.045,12.054223855486194,50385754.28,0.11842105263157905,0.9206349206349206,0.7012039303499018,0.05895655069084848,0.4498041135768125
BTLG11,2024-12-30 00:00:00-03:00,2025-06-30,1.0,0.012,10.697970621157664,96807951.12,0.013157894736842117,0.9788359788359788,0.6203062574755474,0.14789678604633502,0.44004922927367585
HGCR11,2024-12-30 00:00:00-03:00,2025-06-30,0.95,,13.319021294379263,52748878.94,0.0789473684210527,,0.7766464560332048,0.3414585828527533,0.2992631018267527
KNIP11,2024-12-30 00:00:00-03:00,2025-06-30,0.94,,12.719607957971082,240519491.14,0.09210526315789481,,0.7408927023993696,0.3372846785199731,0.2925706610193094
KNHY11,2024-12-30 00:00:00-03:00,2025-06-30,1.01,,14.696725747261363,110134367.24,0.0,,0.8588236492931177,0.22709753694406978,0.2714802965592969
